Pais,SICCODE_Codigo,Descripcion,Riesgo,Codseccion,Descrip seccion
CFC,4530,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio de partes"
CFC,4541,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio de motocicletas y de sus partes"
CFC,4542,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Mantenimiento y reparación de motocicletas y de sus partes y piezas
CFC,4610,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor a cambio de una retribución o por contrata
CFC,4620,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de materias primas agropecuarias; animales vivos
CFC,4631,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de productos alimenticios
CFC,4632,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de bebidas y tabaco
CFC,4641,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de productos textiles"
CFC,4642,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de prendas de vestir
CFC,4643,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de calzado
CFC,4644,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de aparatos y equipo de uso doméstico
CFC,4645,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de productos farmacéuticos"
CFC,4649,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de otros utensilios domésticos n.c.p.
CFC,4651,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de computadores"
CFC,4652,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de equipo"
CFC,4653,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de maquinaria y equipo agropecuarios
CFC,4659,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
CFC,4661,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de combustibles sólidos"
CFC,4662,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de metales y productos metalíferos
CFC,4663,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""Comercio al por mayor de materiales de construcción"
CFC,4664,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de productos químicos básicos"
CFC,4665,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por mayor de desperdicios"
CFC,4669,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor de otros productos n.c.p.
CFC,4690,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por mayor no especializado
CFC,4711,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente "
CFC,4719,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""Comercio al por menor en establecimientos no especializados"
CFC,4721,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados
CFC,4722,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor de leche"
CFC,4723,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor de carnes (incluye aves de corral)"
CFC,4724,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor de bebidas y productos del tabaco"
CFC,4729,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor de otros productos alimenticios n.c.p."
CFC,4731,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por menor de combustible para automotores
CFC,4732,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor de lubricantes (aceites"
CFC,4741,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""Comercio al por menor de computadores"
CFC,4742,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ","""""""Comercio al por menor de equipos y aparatos de sonido y de video"
CFC,4751,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio al por menor de productos textiles en establecimientos especializados
