Pais,Número Préstamo,Prestamo Completo formula,Prestamo completo valor,Categoría
PAN,01-C-004121,01-C-004121,,B-4
PAN,01-C-004124,01-C-004124,,B-3
PAN,01-C-004127,01-C-004127,,B-4
PAN,01-C-004129,01-C-004129,,A-1
PAN,01-C-004131,01-C-004131,,A-1
PAN,01-C-004135,01-C-004135,,B-1
PAN,01-C-004137,01-C-004137,,B-1
PAN,01-C-004139,01-C-004139,,B-4
PAN,01-C-004141,01-C-004141,,A-1
PAN,01-C-004142,01-C-004142,,A-1
PAN,01-C-004143,01-C-004143,,B-1
PAN,01-C-004144,01-C-004144,,B-4
PAN,01-C-004145,01-C-004145,,B-4
PAN,01-C-004146,01-C-004146,,B-2
PAN,01-C-004147,01-C-004147,,B-1
PAN,01-C-004148,01-C-004148,,B-1
PAN,01-C-004149,01-C-004149,,B-2
PAN,01-C-004152,01-C-004152,,A-1
PAN,01-C-004153,01-C-004153,,B-1
PAN,01-C-004154,01-C-004154,,B-1
PAN,01-C-004158,01-C-004158,,B-2
PAN,01-C-004161,01-C-004161,,B-4
PAN,01-C-004163,01-C-004163,,B-1
PAN,01-C-004166,01-C-004166,,B-1
PAN,01-C-004167,01-C-004167,,B-1
PAN,01-C-004169,01-C-004169,,B-2
PAN,01-C-004172,01-C-004172,,B-4
PAN,01-C-004177,01-C-004177,,B-2
PAN,01-C-004183,01-C-004183,,A-1
PAN,01-C-004188,01-C-004188,,B-3
PAN,01-C-004189,01-C-004189,,B-4
PAN,01-C-004190,01-C-004190,,B-2
PAN,01-C-004192,01-C-004192,,B-3
PAN,01-C-004193,01-C-004193,,A-1
PAN,01-C-004194,01-C-004194,,B-1
PAN,01-C-004197,01-C-004197,,B-2
PAN,01-C-004198,01-C-004198,,B-1
PAN,01-C-004199,01-C-004199,,B-2
PAN,01-C-004200,01-C-004200,,A-1
PAN,01-C-004204,01-C-004204,,B-2
PAN,01-C-004209,01-C-004209,,B-1
PAN,01-C-004211,01-C-004211,,B-4
PAN,01-C-004216,01-C-004216,,B-1
PAN,01-C-004217,01-C-004217,,B-4
PAN,01-C-004218,01-C-004218,,A-1
PAN,01-C-004223,01-C-004223,,B-4
PAN,01-C-004224,01-C-004224,,A-1
PAN,01-C-004228,01-C-004228,,B-5
PAN,01-C-004232,01-C-004232,,B-4
PAN,01-C-004234,01-C-004234,,B-1
PAN,01-C-004240,01-C-004240,,A-1
PAN,01-C-004241,01-C-004241,,B-4
PAN,01-C-004243,01-C-004243,,B-5
PAN,01-C-004246,01-C-004246,,B-1
PAN,01-C-004247,01-C-004247,,A-3
PAN,01-C-004253,01-C-004253,,B-4
PAN,01-C-004254,01-C-004254,,B-4
PAN,01-C-004255,01-C-004255,,A-1
PAN,01-C-004264,01-C-004264,,B-4
PAN,01-C-004265,01-C-004265,,A-1
PAN,01-C-004267,01-C-004267,,B-1
PAN,01-C-004270,01-C-004270,,B-1
PAN,01-C-004280,01-C-004280,,B-2
PAN,01-C-004284,01-C-004284,,B-1
PAN,01-C-004285,01-C-004285,,B-1
PAN,01-C-004287,01-C-004287,,B-1
PAN,01-C-004291,01-C-004291,,B-1
PAN,01-C-004298,01-C-004298,,B-3
PAN,01-C-004299,01-C-004299,,B-3
PAN,01-C-004300,01-C-004300,,B-5
PAN,01-C-004308,01-C-004308,,B-2
PAN,01-C-004310,01-C-004310,,B-2
PAN,01-C-004312,01-C-004312,,B-4
PAN,01-C-004314,01-C-004314,,B-4
PAN,01-C-004317,01-C-004317,,A-1
PAN,01-C-004318,01-C-004318,,A-1
PAN,01-C-004320,01-C-004320,,B-4
PAN,01-C-004322,01-C-004322,,A-1
PAN,01-C-004323,01-C-004323,,B-4
PAN,01-C-004325,01-C-004325,,B-2
PAN,01-C-004326,01-C-004326,,B-1
PAN,01-C-004329,01-C-004329,,B-1
PAN,01-C-004331,01-C-004331,,B-1
PAN,01-C-004336,01-C-004336,,B-2
PAN,01-C-004338,01-C-004338,,B-4
PAN,01-C-004340,01-C-004340,,B-4
PAN,01-C-004349,01-C-004349,,B-4
PAN,01-C-004353,01-C-004353,,B-1
PAN,01-C-004356,01-C-004356,,A-1
PAN,01-C-004359,01-C-004359,,A-1
PAN,01-C-004360,01-C-004360,,B-2
PAN,01-C-004362,01-C-004362,,A-1
PAN,01-C-004363,01-C-004363,,B-1
PAN,01-C-004364,01-C-004364,,B-1
PAN,01-C-004365,01-C-004365,,B-1
PAN,01-C-004366,01-C-004366,,B-4
PAN,01-C-004368,01-C-004368,,B-1
PAN,01-C-004370,01-C-004370,,B-4
PAN,01-C-004376,01-C-004376,,B-2
PAN,01-C-004381,01-C-004381,,B-1
PAN,01-C-004382,01-C-004382,,B-1
PAN,01-C-004383,01-C-004383,,B-2
PAN,01-C-004384,01-C-004384,,A-1
PAN,01-C-008010,01-C-008010,,A-1
PAN,01-C-008015,01-C-008015,,A-1
PAN,01-C-008016,01-C-008016,,B-1
PAN,01-C-008017,01-C-008017,,B-1
PAN,01-C-008020,01-C-008020,,A-3
PAN,01-C-008021,01-C-008021,,B-3
PAN,01-C-008022,01-C-008022,,B-1
PAN,01-C-008023,01-C-008023,,B-1
PAN,01-C-008026,01-C-008026,,B-1
PAN,01-C-008030,01-C-008030,,A-1
PAN,01-C-008033,01-C-008033,,A-1
PAN,01-C-008042,01-C-008042,,A-3
PAN,01-C-008045,01-C-008045,,A-1
PAN,01-C-008047,01-C-008047,,B-1
PAN,01-C-008052,01-C-008052,,B-4
PAN,01-C-008054,01-C-008054,,B-2
PAN,01-C-008056,01-C-008056,,B-1
PAN,01-C-008059,01-C-008059,,B-4
PAN,01-C-008061,01-C-008061,,A-1
PAN,01-C-008067,01-C-008067,,B-4
PAN,01-C-008068,01-C-008068,,B-2
PAN,01-C-008070,01-C-008070,,B-2
PAN,01-C-008071,01-C-008071,,B-1
PAN,01-C-008073,01-C-008073,,A-1
PAN,01-C-008074,01-C-008074,,B-4
PAN,01-C-008076,01-C-008076,,B-1
PAN,01-C-008077,01-C-008077,,B-1
PAN,01-C-008082,01-C-008082,,B-3
PAN,01-C-008084,01-C-008084,,A-3
PAN,01-C-008086,01-C-008086,,B-4
PAN,01-C-008088,01-C-008088,,B-1
PAN,01-C-008089,01-C-008089,,B-4
PAN,01-C-008092,01-C-008092,,B-2
PAN,01-C-008093,01-C-008093,,B-4
PAN,01-C-008096,01-C-008096,,A-1
PAN,01-C-008098,01-C-008098,,B-2
PAN,01-C-008105,01-C-008105,,B-1
PAN,01-C-008106,01-C-008106,,B-1
PAN,01-C-008107,01-C-008107,,B-2
PAN,01-C-008109,01-C-008109,,B-1
PAN,01-C-008112,01-C-008112,,B-4
PAN,01-C-008113,01-C-008113,,A-1
PAN,01-C-008120,01-C-008120,,B-2
PAN,01-C-008123,01-C-008123,,B-4
PAN,01-C-008125,01-C-008125,,B-2
PAN,01-C-008128,01-C-008128,,A-3
PAN,01-C-008129,01-C-008129,,B-2
PAN,01-C-008130,01-C-008130,,A-1
PAN,01-C-008131,01-C-008131,,B-1
PAN,01-C-008132,01-C-008132,,B-4
PAN,01-C-008134,01-C-008134,,B-4
PAN,01-C-008137,01-C-008137,,B-4
PAN,01-C-008141,01-C-008141,,B-1
PAN,01-C-008142,01-C-008142,,B-2
PAN,01-C-008146,01-C-008146,,B-2
PAN,01-C-008153,01-C-008153,,B-1
PAN,01-C-008154,01-C-008154,,B-1
PAN,01-C-008156,01-C-008156,,A-1
PAN,01-C-008157,01-C-008157,,B-1
PAN,01-C-008158,01-C-008158,,B-1
PAN,01-C-008161,01-C-008161,,B-4
PAN,01-C-008163,01-C-008163,,B-2
PAN,01-C-008164,01-C-008164,,B-4
PAN,01-C-008166,01-C-008166,,B-1
PAN,01-C-008167,01-C-008167,,B-2
PAN,01-C-008168,01-C-008168,,A-1
PAN,01-C-008169,01-C-008169,,B-1
PAN,01-C-008174,01-C-008174,,B-1
PAN,01-C-008175,01-C-008175,,B-1
PAN,01-C-008177,01-C-008177,,B-1
PAN,01-C-008178,01-C-008178,,B-2
PAN,01-C-008179,01-C-008179,,B-1
PAN,01-C-008182,01-C-008182,,B-1
PAN,01-C-008183,01-C-008183,,A-1
PAN,01-C-008184,01-C-008184,,B-2
PAN,01-C-008185,01-C-008185,,B-4
PAN,01-C-008187,01-C-008187,,B-1
PAN,01-C-008189,01-C-008189,,B-1
PAN,01-C-008191,01-C-008191,,A-3
PAN,01-C-008192,01-C-008192,,B-3
PAN,01-C-008193,01-C-008193,,B-4
PAN,01-C-008194,01-C-008194,,B-1
PAN,01-C-008195,01-C-008195,,B-4
PAN,01-C-008196,01-C-008196,,B-3
PAN,01-C-008197,01-C-008197,,B-1
PAN,01-C-008198,01-C-008198,,B-1
PAN,01-C-008202,01-C-008202,,B-1
PAN,01-C-008203,01-C-008203,,A-1
PAN,01-C-008204,01-C-008204,,B-2
PAN,01-C-008205,01-C-008205,,B-4
PAN,01-C-008206,01-C-008206,,B-2
PAN,01-C-008208,01-C-008208,,A-1
PAN,01-C-008212,01-C-008212,,B-4
PAN,01-C-008213,01-C-008213,,A-1
PAN,01-C-008215,01-C-008215,,B-4
PAN,01-C-008216,01-C-008216,,B-1
PAN,01-C-008217,01-C-008217,,A-1
PAN,01-C-008218,01-C-008218,,A-1
PAN,01-C-008219,01-C-008219,,A-1
PAN,01-C-008220,01-C-008220,,B-1
PAN,01-C-008222,01-C-008222,,A-1
PAN,01-C-008223,01-C-008223,,B-1
PAN,01-C-008224,01-C-008224,,B-1
PAN,01-C-008226,01-C-008226,,B-4
PAN,01-C-008228,01-C-008228,,B-4
PAN,01-C-008230,01-C-008230,,B-5
PAN,01-C-008231,01-C-008231,,A-1
PAN,01-C-008235,01-C-008235,,B-4
PAN,01-C-008238,01-C-008238,,B-4
PAN,01-C-008239,01-C-008239,,B-4
PAN,01-C-008240,01-C-008240,,A-1
PAN,01-C-008242,01-C-008242,,A-1
PAN,01-C-008243,01-C-008243,,A-1
PAN,01-C-008244,01-C-008244,,A-1
PAN,01-C-008245,01-C-008245,,A-1
PAN,01-C-008246,01-C-008246,,B-2
PAN,01-C-008247,01-C-008247,,A-1
PAN,01-C-008249,01-C-008249,,A-1
PAN,01-C-008250,01-C-008250,,B-1
PAN,01-C-008251,01-C-008251,,A-1
PAN,01-C-008253,01-C-008253,,B-1
PAN,01-C-008255,01-C-008255,,A-3
PAN,01-C-008256,01-C-008256,,B-1
PAN,01-C-008258,01-C-008258,,B-1
PAN,01-C-008260,01-C-008260,,A-1
PAN,01-C-008261,01-C-008261,,B-1
PAN,01-C-008262,01-C-008262,,A-1
PAN,01-C-008263,01-C-008263,,B-2
PAN,01-C-008265,01-C-008265,,A-1
PAN,01-C-008267,01-C-008267,,B-4
PAN,01-C-008269,01-C-008269,,B-4
PAN,01-C-008273,01-C-008273,,B-2
PAN,01-C-008274,01-C-008274,,A-1
PAN,01-C-008276,01-C-008276,,B-1
PAN,01-C-008278,01-C-008278,,B-1
PAN,01-C-008280,01-C-008280,,B-4
PAN,01-C-008281,01-C-008281,,B-3
PAN,01-C-008282,01-C-008282,,B-1
PAN,01-C-008283,01-C-008283,,A-1
PAN,01-C-008287,01-C-008287,,B-2
PAN,01-C-008289,01-C-008289,,B-2
PAN,01-C-008291,01-C-008291,,A-3
PAN,01-C-008294,01-C-008294,,B-4
PAN,01-C-008297,01-C-008297,,B-1
PAN,01-C-008298,01-C-008298,,B-1
PAN,01-C-008299,01-C-008299,,A-1
PAN,01-C-008300,01-C-008300,,A-1
PAN,01-C-008301,01-C-008301,,B-1
PAN,01-C-008302,01-C-008302,,B-4
PAN,01-C-008303,01-C-008303,,A-1
PAN,01-C-008304,01-C-008304,,B-4
PAN,01-C-008307,01-C-008307,,B-1
PAN,01-C-008308,01-C-008308,,B-1
PAN,01-C-008314,01-C-008314,,A-1
PAN,01-C-008315,01-C-008315,,B-1
PAN,01-C-008316,01-C-008316,,B-1
PAN,01-C-008317,01-C-008317,,B-1
PAN,01-C-008318,01-C-008318,,A-1
PAN,01-C-008320,01-C-008320,,B-2
PAN,01-C-008322,01-C-008322,,B-2
PAN,01-C-008323,01-C-008323,,B-2
PAN,01-C-008324,01-C-008324,,B-1
PAN,01-C-008325,01-C-008325,,A-1
PAN,01-C-008326,01-C-008326,,A-1
PAN,01-C-008328,01-C-008328,,B-1
PAN,01-C-008329,01-C-008329,,B-2
PAN,01-C-008330,01-C-008330,,A-1
PAN,01-C-008332,01-C-008332,,A-1
PAN,01-C-008333,01-C-008333,,B-1
PAN,01-C-008334,01-C-008334,,B-2
PAN,01-C-008335,01-C-008335,,A-1
PAN,01-C-008338,01-C-008338,,B-2
PAN,01-C-008342,01-C-008342,,A-1
PAN,01-C-008351,01-C-008351,,A-1
PAN,01-C-008361,01-C-008361,,B-1
PAN,01-C-008362,01-C-008362,,B-1
PAN,01-C-008363,01-C-008363,,A-1
PAN,01-C-008369,01-C-008369,,B-1
PAN,01-C-008371,01-C-008371,,B-1
PAN,01-C-008372,01-C-008372,,A-1
PAN,01-C-008373,01-C-008373,,B-1
